variety,country,points
Pinot Noir,United<br>States,86
Barbera,United<br>States,86
Pinot Gris,United<br>States,91
Primitivo,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Cabernet Sauvignon,United<br>States,92
Red Blend,United<br>States,92
Pinot Noir,United<br>States,92
Pinot Gris,United<br>States,91
Zinfandel,United<br>States,83
Pinot Noir,United<br>States,92
Syrah,United<br>States,92
Pinot Noir,United<br>States,91
Zinfandel,United<br>States,83
Roussanne,United<br>States,83
Pinot Noir,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Nebbiolo,United<br>States,83
Cabernet Sauvignon,United<br>States,83
Dolcetto,United<br>States,83
Bordeaux-style Red Blend,United<br>States,83
Merlot,United<br>States,83
Cabernet Sauvignon,United<br>States,83
Zinfandel,United<br>States,83
Zinfandel,United<br>States,91
Pinot Noir,United<br>States,83
Cabernet Sauvignon,United<br>States,91
Pinot Noir,United<br>States,90
Chardonnay,United<br>States,91
Syrah,United<br>States,89
Pinot Noir,United<br>States,89
Chardonnay,United<br>States,91
Pinot Noir,United<br>States,91
Bordeaux-style Red Blend,United<br>States,91
Rhône-style Red Blend,United<br>States,91
Sauvignon Blanc,United<br>States,89
Pinot Noir,United<br>States,91
Chardonnay,United<br>States,91
Pinot Noir,United<br>States,89
Sauvignon Blanc,United<br>States,91
Cabernet Franc,United<br>States,89
Pinot Noir,United<br>States,91
Sparkling Blend,United<br>States,91
Chardonnay,United<br>States,89
Pinot Noir,United<br>States,89
Cabernet Sauvignon,United<br>States,89
Pinot Noir,United<br>States,84
Pinot Noir,United<br>States,84
Pinot Noir,United<br>States,84
Chardonnay,United<br>States,89
Fumé Blanc,United<br>States,83
Pinot Noir,United<br>States,83
Bordeaux-style Red Blend,United<br>States,89
Fumé Blanc,United<br>States,83
Zinfandel,United<br>States,89
Syrah,United<br>States,89
Pinot Gris,United<br>States,89
Cabernet Sauvignon,United<br>States,90
Pinot Noir,United<br>States,91
Sauvignon Blanc,United<br>States,89
Cabernet Sauvignon,United<br>States,90
Merlot,United<br>States,91
Grenache,United<br>States,90
Cabernet Sauvignon,United<br>States,90
Bordeaux-style Red Blend,United<br>States,91
Chardonnay,United<br>States,91
Cabernet Sauvignon,United<br>States,90
Sangiovese,United<br>States,90
Cabernet Sauvignon,United<br>States,90
Pinot Noir,United<br>States,91
Cabernet Franc,United<br>States,90
Rosé,United<br>States,90
Red Blend,United<br>States,90
Chardonnay,United<br>States,91
Pinot Noir,United<br>States,91
Rhône-style White Blend,United<br>States,91
Red Blend,United<br>States,90
Pinot-Chardonnay,United<br>States,90
Riesling,United<br>States,84
Cabernet Sauvignon,United<br>States,91
Cabernet Sauvignon,United<br>States,84
Syrah,United<br>States,83
Merlot,United<br>States,91
Sauvignon Blanc,United<br>States,83
Cabernet Sauvignon,United<br>States,83
Syrah,United<br>States,91
Syrah,United<br>States,91
Petite Sirah,United<br>States,83
Bordeaux-style Red Blend,United<br>States,90
Chardonnay,United<br>States,87
Syrah,United<br>States,90
Cabernet Franc,United<br>States,87
Red Blend,United<br>States,86
Pinot Blanc,United<br>States,88
Cabernet Sauvignon,United<br>States,86
Merlot,United<br>States,86
Auxerrois,United<br>States,86
Pinot Noir,United<br>States,88
Zinfandel,United<br>States,86
Cabernet Sauvignon,United<br>States,86
Malbec,United<br>States,88
Rhône-style White Blend,United<br>States,88
Zinfandel,United<br>States,86
Pinot Noir,United<br>States,86
Pinot Noir,United<br>States,86
Zinfandel,United<br>States,92
Pinot Noir,United<br>States,86
Cabernet Sauvignon-Merlot,United<br>States,88
Sparkling Blend,United<br>States,88
Marsanne,United<br>States,88
Chardonnay,United<br>States,86
Pinot Noir,United<br>States,86
Pinot Noir,United<br>States,88
Pinot Noir,United<br>States,86
Sparkling Blend,United<br>States,88
Riesling,United<br>States,89
Pinot Noir,United<br>States,94
Red Blend,United<br>States,89
Pinot Noir,United<br>States,89
Cabernet Sauvignon,United<br>States,93
Pinot Gris,United<br>States,88
Pinot Noir,United<br>States,93
Chardonnay,United<br>States,92
Sémillon,United<br>States,92
Pinot Noir,United<br>States,88
Zinfandel,United<br>States,85
Pinot Noir,United<br>States,90
Sauvignon Blanc,United<br>States,90
Chardonnay,United<br>States,90
Red Blend,United<br>States,85
Syrah,United<br>States,90
Zinfandel,United<br>States,90
Cabernet Sauvignon,United<br>States,90
Syrah-Viognier,United<br>States,90
Cabernet Franc,United<br>States,90
Syrah,United<br>States,90
Pinot Gris,United<br>States,85
Cabernet Sauvignon,United<br>States,88
Merlot,United<br>States,90
Petite Sirah,United<br>States,90
Pinot Noir,United<br>States,90
Pinot Noir,United<br>States,85
Chardonnay,United<br>States,90
Riesling,United<br>States,85
Pinot Noir,United<br>States,85
Cabernet Sauvignon,United<br>States,93
Sauvignon Blanc,United<br>States,88
Pinot Noir,United<br>States,93
Meritage,United<br>States,88
Cabernet Sauvignon,United<br>States,88
Cabernet Sauvignon,United<br>States,92
Chardonnay,United<br>States,92
Red Blend,United<br>States,90
Chardonnay,United<br>States,88
Red Blend,United<br>States,93
Cabernet Sauvignon,United<br>States,89
Chardonnay,United<br>States,89
Cabernet Sauvignon,United<br>States,89
Cabernet Sauvignon,United<br>States,89
Red Blend,United<br>States,89
Fumé Blanc,United<br>States,89
Red Blend,United<br>States,89
Petite Sirah,United<br>States,89
Pinot Noir,United<br>States,90
Bordeaux-style Red Blend,United<br>States,90
Chardonnay,United<br>States,90
Pinot Gris,United<br>States,88
Sauvignon Blanc,United<br>States,88
Sauvignon Blanc,United<br>States,90
Pinot Noir,United<br>States,89
Chardonnay,United<br>States,90
Zinfandel,United<br>States,87
Merlot,United<br>States,88
Pinot Gris,United<br>States,87
Chardonnay,United<br>States,87
Merlot,United<br>States,87
Sauvignon Blanc,United<br>States,87
Petite Sirah,United<br>States,87
Sauvignon Blanc,United<br>States,87
Pinot Noir,United<br>States,87
Pinot Noir,United<br>States,87
Rosé,United<br>States,87
Pinot Gris,United<br>States,88
Chardonnay,United<br>States,87
Pinot Noir,United<br>States,87
Pinot Noir,United<br>States,93
Chardonnay,United<br>States,89
Red Blend,United<br>States,89
Chardonnay,United<br>States,93
Chardonnay,United<br>States,93
Syrah,United<br>States,93
Pinot Noir,United<br>States,93
Chardonnay,United<br>States,93
Pinot Noir,United<br>States,93
Chardonnay,United<br>States,93
Cabernet Sauvignon,United<br>States,89
Sparkling Blend,United<br>States,89
Cabernet Sauvignon,United<br>States,93
Chardonnay,United<br>States,93
Red Blend,United<br>States,89
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,89
Chardonnay,United<br>States,93
Rhône-style Red Blend,United<br>States,93
Syrah,United<br>States,93
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Cabernet Sauvignon,United<br>States,89
Petite Sirah,United<br>States,89
Pinot Noir,United<br>States,89
Bordeaux-style Red Blend,United<br>States,89
Red Blend,United<br>States,89
Cabernet Franc,United<br>States,89
Cabernet Sauvignon-Sangiovese,United<br>States,89
Rosé,United<br>States,89
Red Blend,United<br>States,89
Grenache,United<br>States,93
Cabernet Sauvignon,United<br>States,88
Syrah,United<br>States,88
Cabernet Franc,United<br>States,88
Chardonnay,United<br>States,86
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Zinfandel,United<br>States,87
Sauvignon Blanc,United<br>States,87
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Malvasia Bianca,United<br>States,87
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Rosé,United<br>States,87
Pinot Noir,United<br>States,86
Pinot Noir,United<br>States,93
Syrah,United<br>States,91
Bordeaux-style Red Blend,United<br>States,92
Bordeaux-style Red Blend,United<br>States,92
Syrah,United<br>States,91
Petite Sirah,United<br>States,91
Cabernet Sauvignon,United<br>States,92
Syrah,United<br>States,92
Pinot Noir,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Grenache,United<br>States,92
Rosé,United<br>States,92
Pinot Noir,United<br>States,92
Bordeaux-style Red Blend,United<br>States,92
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,92
Viognier,United<br>States,89
Pinot Noir,United<br>States,89
Chardonnay,United<br>States,87
Cabernet Sauvignon,United<br>States,90
Tannat,United<br>States,87
Zinfandel,United<br>States,90
Bordeaux-style Red Blend,United<br>States,87
Rhône-style White Blend,United<br>States,87
Chardonnay,United<br>States,88
Chardonnay,United<br>States,86
Zinfandel,United<br>States,86
Zinfandel,United<br>States,86
Chardonnay,United<br>States,88
Pinot Gris,United<br>States,88
Red Blend,United<br>States,86
Pinot Gris,United<br>States,86
Pinot Grigio,United<br>States,88
Pinot Noir,United<br>States,88
Meritage,United<br>States,88
Pinot Noir,United<br>States,88
Petite Sirah,United<br>States,89
Cabernet Sauvignon,United<br>States,89
Petite Sirah,United<br>States,86
Red Blend,United<br>States,86
Chardonnay,United<br>States,86
Syrah,United<br>States,89
Chardonnay,United<br>States,86
Pinot Noir,United<br>States,89
Pinot Noir,United<br>States,86
Zinfandel,United<br>States,89
Chardonnay,United<br>States,86
Petite Sirah,United<br>States,91
Sauvignon Blanc,United<br>States,87
Pinot Blanc,United<br>States,91
Pinot Noir,United<br>States,91
Grenache,United<br>States,91
Riesling,United<br>States,85
Cabernet Sauvignon,United<br>States,91
Pinot Noir,United<br>States,91
Merlot,United<br>States,85
Counoise,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Bordeaux-style Red Blend,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Syrah,United<br>States,91
Pinot Noir,United<br>States,91
Syrah,United<br>States,91
Zinfandel,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Pinot Noir,United<br>States,91
Pinot Noir,United<br>States,91
Bordeaux-style Red Blend,United<br>States,91
Cabernet Franc,United<br>States,85
Cabernet Sauvignon,United<br>States,85
Cabernet Sauvignon,United<br>States,88
Bordeaux-style Red Blend,United<br>States,88
Pinot Noir,United<br>States,88
Chardonnay,United<br>States,88
Merlot,United<br>States,85
Meritage,United<br>States,88
Sauvignon Blanc,United<br>States,85
Chardonnay,United<br>States,88
Pinot Noir,United<br>States,91
Pinot Noir,United<br>States,91
Cabernet Sauvignon,United<br>States,92
Syrah,United<br>States,92
Chardonnay,United<br>States,91
Mourvèdre,United<br>States,91
Chardonnay,United<br>States,87
Zinfandel,United<br>States,87
Pinot Noir,United<br>States,91
Grenache,United<br>States,91
Chardonnay,United<br>States,91
Pinot Noir,United<br>States,87
Merlot,United<br>States,87
Cabernet Sauvignon,United<br>States,90
White Blend,United<br>States,90
Pinot Noir,United<br>States,90
White Blend,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Pinot Noir,United<br>States,90
Chardonnay,United<br>States,91
Cabernet Sauvignon,United<br>States,90
Pinot Noir,United<br>States,90
Pinot Noir,United<br>States,90
Sauvignon Blanc,United<br>States,90
Chardonnay,United<br>States,90
Alicante Bouschet,United<br>States,91
Riesling,United<br>States,90
Malbec,United<br>States,91
Pinot Noir,United<br>States,90
Merlot,United<br>States,91
Malbec,United<br>States,90
Pinot Noir,United<br>States,91
Riesling,United<br>States,90
Chardonnay,United<br>States,91
Rhône-style White Blend,United<br>States,91
Bordeaux-style Red Blend,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Sauvignon Blanc,United<br>States,90
White Blend,United<br>States,84
Chardonnay,United<br>States,90
Pinot Noir,United<br>States,90
Zinfandel,United<br>States,84
Pinot Noir,United<br>States,90
Merlot,United<br>States,90
Chardonnay,United<br>States,90
Pinot Noir,United<br>States,90
Riesling,United<br>States,90
Pinot Noir,United<br>States,90
Zinfandel,United<br>States,84
Bordeaux-style Red Blend,United<br>States,92
Pinot Noir,United<br>States,91
Riesling,United<br>States,84
Petite Sirah,United<br>States,92
Rosé,United<br>States,84
Red Blend,United<br>States,84
Bordeaux-style Red Blend,United<br>States,92
Rosé,United<br>States,84
Cabernet Sauvignon,United<br>States,82
Sauvignon Blanc,United<br>States,82
Malbec,United<br>States,92
Grenache,United<br>States,92
White Blend,United<br>States,82
Cabernet Sauvignon,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Sémillon,United<br>States,92
Zinfandel,United<br>States,82
Riesling,United<br>States,91
Barbera,United<br>States,92
Pinot Noir,United<br>States,87
Zinfandel,United<br>States,87
Riesling,United<br>States,87
Zinfandel,United<br>States,84
Pinot Noir,United<br>States,87
Pinot Noir,United<br>States,87
Cabernet Sauvignon,United<br>States,84
Pinot Noir,United<br>States,87
Red Blend,United<br>States,87
Bordeaux-style Red Blend,United<br>States,84
Zinfandel,United<br>States,87
Grenache,United<br>States,84
Zinfandel,United<br>States,87
Cabernet Sauvignon,United<br>States,92
Pinot Noir,United<br>States,84
Chardonnay,United<br>States,92
Pinot Noir,United<br>States,92
Rosé,United<br>States,92
Pinot Noir,United<br>States,92
Bordeaux-style Red Blend,United<br>States,84
Pinot Noir,United<br>States,92
Chenin Blanc,United<br>States,92
Riesling,United<br>States,84
Chardonnay,United<br>States,92
Pinot Noir,United<br>States,92
Pinot Noir,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Pinot Noir,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Pinot Noir,United<br>States,84
Chardonnay,United<br>States,82
Syrah,United<br>States,89
Syrah,United<br>States,95
Pinot Noir,United<br>States,95
Pinot Noir,United<br>States,95
Chardonnay,United<br>States,95
Pinot Noir,United<br>States,95
Chardonnay,United<br>States,95
Chardonnay,United<br>States,95
Pinot Noir,United<br>States,95
Chardonnay,United<br>States,95
Pinot Noir,United<br>States,95
Cabernet Sauvignon,United<br>States,95
Syrah,United<br>States,95
Chardonnay,United<br>States,95
Chardonnay,United<br>States,86
G-S-M,United<br>States,95
Pinot Noir,United<br>States,89
Cabernet Sauvignon,United<br>States,93
Zinfandel,United<br>States,89
Bordeaux-style Red Blend,United<br>States,93
Red Blend,United<br>States,93
Cabernet Sauvignon,United<br>States,93
Cabernet Sauvignon,United<br>States,93
Pinot Noir,United<br>States,93
Cabernet Sauvignon,United<br>States,93
Syrah,United<br>States,93
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Bordeaux-style Red Blend,United<br>States,93
Chardonnay,United<br>States,82
Pinot Noir,United<br>States,95
Pinot Noir,United<br>States,95
Red Blend,United<br>States,82
Pinot Noir,United<br>States,89
Pinot Noir,United<br>States,82
Cabernet Sauvignon,United<br>States,82
Sauvignon Blanc,United<br>States,82
Tempranillo,United<br>States,82
Red Blend,United<br>States,88
Viognier,United<br>States,82
Chardonnay,United<br>States,90
Red Blend,United<br>States,82
Zinfandel,United<br>States,90
Cabernet Sauvignon,United<br>States,90
White Blend,United<br>States,82
Merlot,United<br>States,86
Chambourcin,United<br>States,82
Pinot Noir,United<br>States,90
Syrah,United<br>States,90
Chardonnay,United<br>States,86
Cabernet Sauvignon,United<br>States,90
Pinot Noir,United<br>States,90
Chardonnay,United<br>States,86
Chardonnay,United<br>States,86
Bordeaux-style Red Blend,United<br>States,90
Pinot Noir,United<br>States,90
Cabernet Sauvignon,United<br>States,96
Syrah,United<br>States,86
Pinot Noir,United<br>States,95
Merlot,United<br>States,86
Cabernet Sauvignon,United<br>States,86
Syrah,United<br>States,92
Riesling,United<br>States,84
Merlot,United<br>States,87
Cabernet Sauvignon,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Pinot Noir,United<br>States,92
Viognier,United<br>States,94
Bordeaux-style Red Blend,United<br>States,94
Zinfandel,United<br>States,90
Cabernet Sauvignon,United<br>States,93
Pinot Noir,United<br>States,93
Gewürztraminer,United<br>States,90
Merlot,United<br>States,93
Merlot,United<br>States,93
Pinot Noir,United<br>States,93
Sauvignon Blanc,United<br>States,93
Zinfandel,United<br>States,92
Pinot Noir,United<br>States,90
Syrah,United<br>States,93
Malbec,United<br>States,93
Chardonnay,United<br>States,93
Pinot Noir,United<br>States,88
Pinot Noir,United<br>States,88
Chardonnay,United<br>States,88
Cabernet Sauvignon,United<br>States,90
Riesling,United<br>States,88
Cabernet Sauvignon,United<br>States,94
White Blend,United<br>States,88
Merlot,United<br>States,94
Pinot Noir,United<br>States,88
Pinot Noir,United<br>States,88
Red Blend,United<br>States,93
Cabernet Sauvignon,United<br>States,94
Cabernet Sauvignon,United<br>States,92
Syrah,United<br>States,92
Riesling,United<br>States,85
Muskat Ottonel,United<br>States,85
Pinot Gris,United<br>States,85
Pinot Gris,United<br>States,87
Pinot Gris,United<br>States,85
Syrah,United<br>States,87
Grüner Veltliner,United<br>States,85
Malbec,United<br>States,85
Cabernet Sauvignon,United<br>States,85
Syrah,United<br>States,85
Merlot,United<br>States,87
Albariño,United<br>States,84
Zinfandel,United<br>States,92
Chardonnay,United<br>States,90
Rhône-style Red Blend,United<br>States,92
Syrah,United<br>States,92
Chardonnay,United<br>States,92
Pinot Noir,United<br>States,92
Petit Verdot,United<br>States,92
Albariño,United<br>States,87
Pinot Gris,United<br>States,92
Pinot Noir,United<br>States,92
Merlot,United<br>States,87
Cabernet Sauvignon,United<br>States,92
G-S-M,United<br>States,92
Pinot Noir,United<br>States,92
Pinot Noir,United<br>States,90
Rhône-style Red Blend,United<br>States,92
Pinot Noir,United<br>States,92
Sauvignon Blanc,United<br>States,89
Chardonnay,United<br>States,88
Riesling,United<br>States,88
Pinot Noir,United<br>States,86
Merlot,United<br>States,86
Pinot Noir,United<br>States,86
Cabernet Sauvignon,United<br>States,88
Cabernet Sauvignon,United<br>States,93
Petite Sirah,United<br>States,93
Chardonnay,United<br>States,88
Pinot Noir,United<br>States,93
Chardonnay,United<br>States,93
Merlot,United<br>States,88
Syrah,United<br>States,88
Chardonnay,United<br>States,93
Cabernet Sauvignon,United<br>States,88
Sauvignon Blanc,United<br>States,86
Red Blend,United<br>States,89
Bordeaux-style Red Blend,United<br>States,89
Cabernet Sauvignon,United<br>States,93
Red Blend,United<br>States,93
Red Blend,United<br>States,89
Red Blend,United<br>States,89
Riesling,United<br>States,89
Red Blend,United<br>States,89
Champagne Blend,United<br>States,89
Viognier,United<br>States,93
Cabernet Sauvignon,United<br>States,89
Pinot Noir,United<br>States,87
Syrah,United<br>States,89
Pinot Noir,United<br>States,87
Cabernet-Syrah,United<br>States,89
Pinot Noir,United<br>States,88
Sparkling Blend,United<br>States,86
Cabernet Sauvignon,United<br>States,87
Cabernet Sauvignon,United<br>States,95
Chardonnay,United<br>States,88
Syrah,United<br>States,88
Bordeaux-style Red Blend,United<br>States,95
White Blend,United<br>States,87
Pinot Noir,United<br>States,87
Pinot Noir,United<br>States,87
Chardonnay,United<br>States,87
Chardonnay,United<br>States,87
Roussanne,United<br>States,87
Sauvignon Blanc,United<br>States,87
Cabernet Sauvignon,United<br>States,95
Riesling,United<br>States,87
Cabernet Sauvignon,United<br>States,86
Red Blend,United<br>States,96
Cabernet Sauvignon,United<br>States,96
Gewürztraminer,United<br>States,86
Cabernet Sauvignon,United<br>States,89
Sparkling Blend,United<br>States,86
Rosé,United<br>States,86
Syrah,United<br>States,86
Cabernet Sauvignon,United<br>States,87
Petite Sirah,United<br>States,86
Merlot,United<br>States,86
Sparkling Blend,United<br>States,86
Malbec,United<br>States,86
Sparkling Blend,United<br>States,87
Zinfandel,United<br>States,86
Cabernet Sauvignon,United<br>States,96
Petite Sirah,United<br>States,89
Mourvèdre,United<br>States,92
Grenache Blanc,United<br>States,92
Bordeaux-style Red Blend,United<br>States,86
Syrah,United<br>States,86
Red Blend,United<br>States,86
Red Blend,United<br>States,86
Pinot Gris,United<br>States,86
Sauvignon Blanc,United<br>States,89
Pinot Noir,United<br>States,86
Riesling,United<br>States,89
Merlot,United<br>States,86
Merlot,United<br>States,89
Petite Sirah,United<br>States,89
Riesling,United<br>States,89
Bordeaux-style Red Blend,United<br>States,89
Riesling,United<br>States,86
Pinot Noir,United<br>States,89
Pinot Gris,United<br>States,89
Sauvignon Blanc,United<br>States,89
Riesling,United<br>States,84
Cabernet Franc,United<br>States,84
Carmenère,United<br>States,84
Chardonnay,United<br>States,84
Pinot Noir,United<br>States,89
Red Blend,United<br>States,84
Red Blend,United<br>States,89
Chardonnay,United<br>States,84
Syrah,United<br>States,89
Rhône-style White Blend,United<br>States,84
Albariño,United<br>States,89
Bordeaux-style Red Blend,United<br>States,89
Syrah,United<br>States,89
Merlot,United<br>States,86
Red Blend,United<br>States,86
Pinot Noir,United<br>States,89
Red Blend,United<br>States,89
Chardonnay,United<br>States,90
Red Blend,United<br>States,89
Cabernet Franc,United<br>States,90
Viognier,United<br>States,89
Pinot Gris,United<br>States,90
Zinfandel,United<br>States,90
Pinot Noir,United<br>States,90
Pinot Blanc,United<br>States,90
Gewürztraminer,United<br>States,89
Syrah,United<br>States,90
Chardonnay,United<br>States,89
Bordeaux-style Red Blend,United<br>States,86
Pinot Noir,United<br>States,89
Bordeaux-style Red Blend,United<br>States,89
Sauvignon Blanc,United<br>States,86
Sangiovese,United<br>States,86
Riesling,United<br>States,86
Cabernet Sauvignon,United<br>States,86
Gewürztraminer,United<br>States,86
Rosé,United<br>States,86
Merlot,United<br>States,86
Merlot,United<br>States,86
Chardonnay,United<br>States,86
Red Blend,United<br>States,86
Zinfandel,United<br>States,86
Pinot Noir,United<br>States,86
Pinot Noir,United<br>States,89
Petite Sirah,United<br>States,88
Zinfandel,United<br>States,84
Cabernet Sauvignon,United<br>States,84
Cabernet Sauvignon,United<br>States,88
Pinot Noir,United<br>States,88
Cabernet Sauvignon,United<br>States,88
Pinot Grigio,United<br>States,88
Sangiovese,United<br>States,86
Cabernet Sauvignon,United<br>States,88
Grenache,United<br>States,88
Cabernet Sauvignon,United<br>States,88
Pinot Noir,United<br>States,88
Cabernet Sauvignon,United<br>States,88
Sangiovese,United<br>States,88
Zinfandel,United<br>States,88
Merlot,United<br>States,88
Sangiovese,United<br>States,88
Chardonnay,United<br>States,86
Sauvignon Blanc,United<br>States,86
Sauvignon Blanc,United<br>States,86
Cabernet Sauvignon,United<br>States,86
Cabernet Franc,United<br>States,86
Merlot,United<br>States,86
Pinot Grigio,United<br>States,86
Red Blend,United<br>States,86
Cabernet Sauvignon,United<br>States,86
Chardonnay,United<br>States,86
Red Blend,United<br>States,86
Syrah,United<br>States,86
Pinot Noir,United<br>States,86
Chardonnay,United<br>States,86
Red Blend,United<br>States,86
Merlot,United<br>States,84
Bordeaux-style Red Blend,United<br>States,88
Sauvignon Blanc,United<br>States,88
Chardonnay,United<br>States,84
Red Blend,United<br>States,84
Cabernet Sauvignon,United<br>States,84
Cabernet Franc,United<br>States,84
Cabernet Sauvignon,United<br>States,84
Pinot Noir,United<br>States,86
Cabernet Sauvignon,United<br>States,89
Pinot Noir,United<br>States,86
Cabernet Sauvignon,United<br>States,86
Cabernet Sauvignon,United<br>States,86
Sauvignon Blanc,United<br>States,89
Sauvignon Blanc,United<br>States,86
Pinot Grigio,United<br>States,89
Syrah,United<br>States,88
Chardonnay,United<br>States,86
Chardonnay,United<br>States,89
Pinot Noir,United<br>States,89
Sauvignon Blanc,United<br>States,86
Sauvignon Blanc,United<br>States,88
Zinfandel,United<br>States,88
Rhône-style Red Blend,United<br>States,88
Pinot Noir,United<br>States,86
Barbera,United<br>States,88
Zinfandel,United<br>States,88
Pinot Noir,United<br>States,86
Cabernet Sauvignon,United<br>States,88
Zinfandel,United<br>States,88
Pinot Noir,United<br>States,86
Pinot Noir,United<br>States,86
Cabernet Sauvignon,United<br>States,88
Merlot,United<br>States,88
Merlot,United<br>States,87
Chardonnay,United<br>States,87
Cabernet Franc,United<br>States,87
Pinot Blanc,United<br>States,87
Zinfandel,United<br>States,87
Syrah,United<br>States,89
Syrah,United<br>States,87
Sauvignon Blanc,United<br>States,87
Sauvignon Blanc,United<br>States,87
Chardonnay,United<br>States,89
Chardonnay,United<br>States,87
Pinot Noir,United<br>States,87
Red Blend,United<br>States,87
Pinot Blanc,United<br>States,87
Pinot Noir,United<br>States,87
Red Blend,United<br>States,87
Chardonnay,United<br>States,84
Pinot Noir,United<br>States,89
Syrah,United<br>States,84
Chardonnay,United<br>States,84
Cabernet Sauvignon,United<br>States,84
Merlot,United<br>States,91
Bordeaux-style Red Blend,United<br>States,84
Syrah,United<br>States,91
Chardonnay,United<br>States,84
Pinot Noir,United<br>States,91
Chardonnay,United<br>States,84
Pinot Noir,United<br>States,84
Chardonnay,United<br>States,91
Sauvignon Blanc,United<br>States,89
Chardonnay,United<br>States,84
Meritage,United<br>States,87
Riesling,United<br>States,87
Petite Sirah,United<br>States,89
Sémillon,United<br>States,89
Sauvignon Blanc,United<br>States,89
Sauvignon Blanc,United<br>States,86
Pinot Noir,United<br>States,89
Merlot,United<br>States,86
Rhône-style White Blend,United<br>States,86
Chardonnay,United<br>States,89
Cabernet Sauvignon,United<br>States,86
Tempranillo,United<br>States,89
Grenache Blanc,United<br>States,86
Cabernet Sauvignon,United<br>States,86
Rhône-style White Blend,United<br>States,89
Riesling,United<br>States,89
Chardonnay,United<br>States,86
Zinfandel,United<br>States,89
Cabernet Sauvignon,United<br>States,86
Merlot,United<br>States,86
Rosé,United<br>States,89
Cabernet Franc,United<br>States,89
Sauvignon Blanc,United<br>States,89
Merlot,United<br>States,89
Cabernet Sauvignon,United<br>States,89
Zinfandel,United<br>States,89
Grenache,United<br>States,89
Riesling,United<br>States,89
Chardonnay,United<br>States,89
Pinot Noir,United<br>States,87
Malbec,United<br>States,86
Chardonnay,United<br>States,84
Chardonnay,United<br>States,84
Syrah-Grenache,United<br>States,91
Riesling,United<br>States,91
White Blend,United<br>States,91
Bordeaux-style Red Blend,United<br>States,91
Chardonnay,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Pinot Noir,United<br>States,91
Viognier,United<br>States,87
Pinot Noir,United<br>States,91
Cabernet Sauvignon,United<br>States,87
Syrah,United<br>States,88
Rhône-style Red Blend,United<br>States,88
Bordeaux-style Red Blend,United<br>States,87
Pinot Noir,United<br>States,87
Chardonnay,United<br>States,91
Chardonnay,United<br>States,87
White Blend,United<br>States,87
Pinot Noir,United<br>States,87
Red Blend,United<br>States,87
Chardonnay,United<br>States,87
Red Blend,United<br>States,87
Valdiguié,United<br>States,87
Pinot Gris,United<br>States,88
Riesling,United<br>States,87
Pinot Noir,United<br>States,88
Petit Verdot,United<br>States,88
Sangiovese,United<br>States,87
Sparkling Blend,United<br>States,87
Chardonnay,United<br>States,87
Pinot Noir,United<br>States,87
Malbec,United<br>States,91
Sauvignon Blanc,United<br>States,91
Syrah,United<br>States,91
Chardonnay,United<br>States,84
Grenache Blanc,United<br>States,91
Syrah,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Bordeaux-style Red Blend,United<br>States,84
Chardonnay,United<br>States,88
Chardonnay,United<br>States,88
Chardonnay,United<br>States,88
Pinot Noir,United<br>States,91
Syrah,United<br>States,91
Rosé,United<br>States,88
Pinot Noir,United<br>States,91
Petite Sirah,United<br>States,88
Pinot Blanc,United<br>States,88
Merlot,United<br>States,88
Rosé,United<br>States,91
Grenache,United<br>States,88
Rhône-style Red Blend,United<br>States,88
Pinot Gris,United<br>States,88
Bordeaux-style Red Blend,United<br>States,88
Cabernet Sauvignon,United<br>States,91
Bordeaux-style Red Blend,United<br>States,91
Rosé,United<br>States,88
Cabernet Sauvignon,United<br>States,88
Red Blend,United<br>States,91
Gewürztraminer,United<br>States,91
Bordeaux-style Red Blend,United<br>States,91
Cabernet Sauvignon,United<br>States,91
Primitivo,United<br>States,85
Roussanne,United<br>States,86
Chardonnay,United<br>States,88
Gewürztraminer,United<br>States,88
Pinot Noir,United<br>States,93
Cabernet Franc,United<br>States,87
Pinot Noir,United<br>States,87
Pinot Noir,United<br>States,87
